Coin name,Market,Currency,Price,Open 24H,Range 24H
BTC,Luno,ZAR,48410,45989,4736
BTC,BitSquare,ZAR,28530.48,28530.48,0
BTC,LakeBTC,AUD,4433.07,4365.63,179.150000
BTC,BitSquare,AUD,3740.4,3740.4,0
BTC,Quoine,AUD,4349.09046,4100.44794,258.506550
BTC,MonetaGo,AUD,606.55,606.55,0
BTC,BTCMarkets,AUD,4419.24,4250.99,250
BTC,LocalBitcoins,AUD,4607.97,4700,22368.1899
BTC,BitSquare,CAD,2800,2800,0
BTC,QuadrigaCX,CAD,4472.49,4365.99,223.970000
BTC,Cryptsy,CAD,320.000028,320.000028,0
BTC,MonetaGo,CAD,596.61,596.61,0
BTC,LocalBitcoins,CAD,7523.01,3534.75,18337.8300
BTC,Coinbase,CAD,861.74,861.74,0
BTC,LakeBTC,CAD,4467.96,4376.06,183.730000
BTC,Kraken,CAD,4382.3,4250,464.088999
BTC,MonetaGo,MXN,7762.4,7762.4,0
BTC,Bitso,MXN,60443.29,57413.78,4635.23999
BTC,LocalBitcoins,MXN,61492.12,58418.41,16370.7999
BTC,CCEDK,RUB,0.11111155,0.11111155,0
